Contract,Buyer,Supplier,Amount,AwardDate,StartDate,EndDate,PreparatoryPhase,ContractDays,PhaseDays,ContractType
Computer services,Other,Microsoft,25043,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,683443,2022-06-01,2022-06-01,2027-05-31,0,1825,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,188415,2022-06-13,2022-06-13,2027-03-31,0,1752,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,273927,2023-03-21,2023-03-21,2027-03-31,0,1471,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,375498,2022-03-18,2022-03-18,2027-03-31,0,1839,0,License/Maintenance Fees Related
COMPUTER SERVICES,Other,Microsoft,726951,2022-06-08,2022-06-08,2027-03-31,0,1757,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,2145116,2022-07-01,2022-07-01,2027-03-31,0,1734,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,365228,2022-04-01,2022-04-01,2027-03-31,0,1825,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,240272,2021-04-29,2021-04-29,2027-03-31,0,2162,0,Computer Services Related
Computer services,Other,Microsoft,20762982,2021-03-01,2021-03-01,2027-02-28,0,2190,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,58798,2024-03-12,2024-01-01,2026-12-31,-71,1095,71,License/Maintenance Fees Related
Acquisition of Client Software,Other,Microsoft,14233,2021-10-02,2021-10-02,2026-10-02,0,1826,0,Software Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,336129,2021-11-01,2021-11-01,2026-09-30,0,1794,0,Distributed Computing Environment Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,44032042,2020-11-16,2020-08-27,2026-08-26,-81,2190,81,Database Access Services Related
License/Maintenance fees for Client Software related to Distributed Computing Environment (DCE),Other,Microsoft,10673,2020-05-15,2020-04-01,2026-06-30,-44,2281,44,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,766047,2023-06-13,2021-02-05,2026-06-30,-858,1971,858,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,119496,2021-06-04,2021-06-21,2026-04-30,17,1774,17,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,150734,2024-01-16,2024-01-16,2026-04-01,0,806,0,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,12323,2021-03-01,2021-03-01,2026-03-31,0,1856,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,40601,2022-12-28,2023-01-01,2026-03-31,4,1185,4,License/Maintenance Fees Related
Purchase of Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,18048,2021-05-14,2021-05-14,2026-03-31,0,1782,0,Software Related
1282 COMP EQ-SRVR (PARTSPERI),Other,Microsoft,6156640,2020-06-02,2020-06-02,2026-03-31,0,2128,0,Equipment Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,98746,2023-09-15,2023-09-15,2026-03-31,0,928,0,License/Maintenance Fees Related
Client software related to distributed computing environment (DCE),Other,Microsoft,867716,2021-04-01,2021-04-01,2026-03-31,0,1825,0,Distributed Computing Environment Related
LICENSE/MAINTENANCE FEES FOR CLIENT SOFTWARE,Other,Microsoft,98207,2021-03-18,2021-03-18,2026-03-31,0,1839,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE,Other,Microsoft,13085,2020-01-30,2020-01-30,2026-03-31,0,2252,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,293516,2022-09-27,2022-09-27,2026-03-31,0,1281,0,Computer Services Related
Client software related to Distributed Computing Environment (DCE),Natural Resources Canada,Microsoft,15063,2020-02-24,2020-02-24,2026-03-31,0,2227,0,Distributed Computing Environment Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,53993,2023-09-05,2023-09-05,2026-03-31,0,938,0,Database Access Services Related
Client Software Related To Distributed Computing Environment (DCE),Other,Microsoft,28065,2023-03-01,2023-03-01,2026-03-31,0,1126,0,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,80066,2023-03-29,2023-03-29,2026-03-31,0,1098,0,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,10642,2023-04-01,2023-04-01,2026-03-31,0,1095,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,344188,2022-11-07,2022-11-07,2026-03-31,0,1240,0,Database Access Services Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,194706,2021-12-15,2021-12-15,2026-03-31,0,1567,0,Database Access Services Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,1120736,2020-02-26,2020-02-26,2026-03-31,0,2225,0,Database Access Services Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,1813377,2020-02-03,2020-02-03,2026-03-31,0,2248,0,Database Access Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,32222,2021-10-04,2021-04-01,2026-03-31,-186,1825,186,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,322223,2021-08-13,2021-08-13,2026-03-31,0,1691,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,15534,2022-07-18,2022-07-18,2026-03-31,0,1352,0,Distributed Computing Environment Related
"Computer equipment related to Production and Operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Other,Microsoft,49333,2022-11-07,2022-11-07,2026-03-31,0,1240,0,Production and Operation Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,32597,2022-01-28,2022-01-28,2026-03-31,0,1523,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,261294,2021-08-03,2021-08-03,2026-03-31,0,1701,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,388407,2023-08-24,2023-08-24,2026-03-31,0,950,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,388407,2023-08-24,2023-08-24,2026-03-31,0,950,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,141485,2023-08-18,2023-08-18,2026-03-31,0,956,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,141485,2023-08-18,2023-08-18,2026-03-31,0,956,0,Distributed Computing Environment Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,62851,2023-08-18,2023-08-18,2026-03-31,0,956,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,62851,2023-08-18,2023-08-18,2026-03-31,0,956,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,34969,2021-06-03,2021-03-01,2026-03-31,-94,1856,94,Database Access Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,904461,2023-08-18,2023-08-18,2026-03-31,0,956,0,Distributed Computing Environment Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,69397,2021-08-23,2021-08-12,2026-03-31,-11,1692,11,Database Access Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,78160,2021-09-20,2021-09-01,2026-03-31,-19,1672,19,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,904461,2023-08-18,2023-08-18,2026-03-31,0,956,0,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,177605,2020-12-08,2020-12-08,2026-03-31,0,1939,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,17460,2023-02-20,2023-02-20,2026-03-31,0,1135,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Employment and Social Development Canada,Microsoft,257497,2021-05-10,2021-04-01,2026-03-31,-39,1825,39,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,2995070,2021-07-20,2021-07-21,2026-03-31,1,1714,1,License/Maintenance Fees Related
"Operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,42604,2022-06-23,2022-04-01,2026-03-31,-83,1460,83,Software Related
License/Maintenance fees for Client Software,Other,Microsoft,15694,2022-07-18,2022-07-18,2026-03-31,0,1352,0,License/Maintenance Fees Related
Renewal of Annual Licenses/Maintenance for Software - Client Software,Other,Microsoft,18000,2022-03-01,2022-03-01,2026-03-31,0,1491,0,Software Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,62596,2021-09-28,2021-11-11,2026-03-31,44,1601,44,License/Maintenance Fees Related
1285 Application Software (inc COTS)&Application Development & Delivery Software,Other,Microsoft,21600,2021-11-26,2021-11-24,2026-03-31,-2,1588,2,Software Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,3293344,2022-03-28,2022-03-28,2026-03-31,0,1464,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,10593,2021-02-18,2021-02-18,2026-03-31,0,1867,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,611330,2021-03-21,2022-02-01,2026-03-31,317,1519,317,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,108119,2022-04-01,2022-04-01,2026-03-31,0,1460,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,33089,2024-03-27,2024-04-01,2026-03-31,5,729,5,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,125213,2024-03-08,2024-03-08,2026-03-31,0,753,0,Distributed Computing Environment Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,10421,2024-03-08,2024-03-08,2026-03-31,0,753,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,14628,2024-01-25,2023-12-18,2026-03-31,-38,834,38,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,46897,2023-08-17,2023-09-01,2026-03-31,15,942,15,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,176516,2023-05-19,2023-05-19,2026-03-31,0,1047,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,26748,2021-04-01,2021-04-01,2026-03-31,0,1825,0,License/Maintenance Fees Related
Information Technology Managed Services,Other,Microsoft,1713200,2023-04-01,2023-04-01,2026-03-31,0,1095,0,Other
LIC/MAINT FEES CLIENT SOFTWARE,Other,Microsoft,46000,2023-08-17,2023-08-17,2026-03-31,0,957,0,License/Maintenance Fees Related
LIC/MAINT FEES CLIENT SOFTWARE,Other,Microsoft,83361,2023-08-02,2023-08-02,2026-03-31,0,972,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,10999,2022-05-25,2022-05-25,2026-03-31,0,1406,0,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,23694,2023-06-28,2023-05-01,2026-03-31,-58,1065,58,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,7261595,2022-04-01,2022-04-01,2026-03-31,0,1460,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,142068,2023-09-25,2023-08-01,2026-03-31,-55,973,55,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,12992,2023-01-06,2023-01-06,2026-03-31,0,1180,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,281353,2022-07-20,2022-07-20,2026-03-31,0,1350,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,16591,2022-04-01,2022-04-01,2026-03-31,0,1460,0,License/Maintenance Fees Related
Information Technology Managed Services,Other,Microsoft,17612,2023-04-01,2023-04-01,2026-03-31,0,1095,0,Other
"Operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,48717,2023-04-06,2023-04-06,2026-03-31,0,1090,0,Software Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,57503,2024-03-27,2024-03-27,2026-03-31,0,734,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE,Other,Microsoft,350689,2024-02-09,2024-02-09,2026-03-31,0,781,0,License/Maintenance Fees Related
Acquisition of Client Software,Other,Microsoft,32835,2022-09-27,2022-10-01,2026-03-31,4,1277,4,Software Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,335234,2022-04-13,2022-04-13,2026-03-31,0,1448,0,Computer Services Related
Lic/Maint fees Client Software,Other,Microsoft,133958,2023-04-01,2023-04-01,2026-03-31,0,1095,0,License/Maintenance Fees Related
Client Software,Other,Microsoft,731302,2023-07-28,2023-06-15,2026-03-31,-43,1020,43,Software Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,108158,2024-01-03,2024-01-03,2026-03-31,0,818,0,Database Access Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,88478,2021-08-16,2021-08-16,2026-03-31,0,1688,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Employment and Social Development Canada,Microsoft,10022,2022-12-22,2022-11-01,2026-03-31,-51,1246,51,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software.,Employment and Social Development Canada,Microsoft,16753,2023-02-10,2023-02-01,2026-03-31,-9,1154,9,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,188157,2023-05-04,2023-05-04,2026-03-31,0,1062,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,109119,2021-03-18,2021-03-16,2026-03-31,-2,1841,2,Distributed Computing Environment Related
License/Maintenance fees for Server Operating System and Utility Software,Other,Microsoft,20411,2022-07-20,2022-07-20,2026-03-31,0,1350,0,License/Maintenance Fees Related
Purchase of Client Software related to Distributed Computing Environment (DCE) < $10K - Desktop and Office,Other,Microsoft,169093,2022-10-01,2022-10-01,2026-03-31,0,1277,0,Distributed Computing Environment Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,5854343,2021-03-10,2021-02-09,2026-03-31,-29,1876,29,Database Access Services Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,197118,2021-02-26,2020-12-01,2026-03-31,-87,1946,87,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,79222,2024-03-14,2024-04-01,2026-03-31,18,729,18,License/Maintenance Fees Related
LIC/MAINT FEES CLIENT SOFTWARE,Other,Microsoft,26090,2024-03-28,2024-03-04,2026-03-31,-24,757,24,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Natural Resources Canada,Microsoft,19602,2022-12-13,2022-12-13,2026-03-31,0,1204,0,Distributed Computing Environment Related
LIC/MAINT FEES CLIENT SOFTWARE,Other,Microsoft,38965,2023-09-01,2023-09-01,2026-03-31,0,942,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,19330,2023-10-25,2023-10-25,2026-03-31,0,888,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,67807,2023-09-01,2023-10-01,2026-03-31,30,912,30,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,19380,2023-12-08,2023-12-01,2026-03-31,-7,851,7,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,13849,2023-07-07,2023-08-01,2026-03-31,25,973,25,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,296090,2024-03-05,2024-02-14,2026-03-31,-20,776,20,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,5589,2020-07-27,2020-07-27,2026-03-31,0,2073,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,126949,2020-03-17,2020-03-23,2026-03-31,6,2199,6,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,144110,2020-02-13,2020-02-13,2026-03-31,0,2238,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,34446,2021-06-17,2021-04-01,2026-03-31,-77,1825,77,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,12631,2022-04-05,2022-04-05,2026-03-31,0,1456,0,Distributed Computing Environment Related
Appli. software (inc. COTS) & app. devel. and deli,Other,Microsoft,1118059,2023-08-01,2023-08-01,2026-03-31,0,973,0,Software Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,73774,2022-06-03,2022-05-01,2026-03-31,-33,1430,33,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,2338923,2022-06-27,2022-06-27,2026-03-31,0,1373,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,1286333,2022-07-27,2022-08-01,2026-03-31,5,1338,5,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,2679860,2022-08-04,2022-08-04,2026-03-31,0,1335,0,License/Maintenance Fees Related
Microsoft Products,Other,Microsoft,113975,2023-11-02,2023-11-06,2026-03-31,4,876,4,Other
License / Maintenance Fees for Application Software (Inc COTS)&App Development&Delivery Software,Other,Microsoft,46128,2020-12-29,2021-01-01,2026-03-31,3,1915,3,Software Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,611330,2021-03-21,2022-02-01,2026-03-31,317,1519,317,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,161550,2024-03-07,2024-03-07,2026-03-31,0,754,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,34741,2021-06-04,2021-06-04,2026-03-31,0,1761,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,36787,2023-05-25,2023-06-01,2026-03-31,7,1034,7,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,155621,2023-01-19,2023-01-19,2026-03-31,0,1167,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,55409,2023-02-14,2023-03-01,2026-03-31,15,1126,15,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,13068,2022-03-01,2022-03-01,2026-03-31,0,1491,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,79766,2021-11-18,2021-11-18,2026-03-31,0,1594,0,Database Access Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,239568,2022-02-28,2022-02-28,2026-03-31,0,1492,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,11685,2024-03-08,2024-03-08,2026-03-31,0,753,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,56592,2023-03-23,2023-03-23,2026-03-31,0,1104,0,Distributed Computing Environment Related
Computer Equipment - Servers,Other,Microsoft,10340,2023-01-01,2023-01-01,2026-03-31,0,1185,0,Equipment Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,395820,2022-08-10,2022-04-01,2026-03-31,-131,1460,131,Database Access Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,478966,2021-03-10,2021-05-01,2026-03-31,52,1795,52,License/Maintenance Fees Related
License/Maintenance fees for Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,23875,2020-07-24,2020-07-01,2026-03-31,-23,2099,23,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,821016,2021-05-20,2021-04-01,2026-03-31,-49,1825,49,Database Access Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,67856,2022-08-09,2022-08-09,2026-03-31,0,1330,0,Distributed Computing Environment Related
Appli. software (inc. COTS) & app. devel. and deli,Other,Microsoft,30868,2023-10-11,2023-10-11,2026-03-31,0,902,0,Software Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,2096,2020-03-02,2020-03-02,2026-03-31,0,2220,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,5985886,2020-02-25,2020-02-25,2026-03-31,0,2226,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,154212,2023-05-12,2023-06-01,2026-03-31,20,1034,20,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,238187,2021-04-01,2021-04-01,2026-03-31,0,1825,0,Distributed Computing Environment Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,231915,2023-03-31,2023-03-31,2026-03-31,0,1096,0,Database Access Services Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,127106,2023-03-31,2023-03-31,2026-03-31,0,1096,0,Database Access Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,10991,2022-07-18,2022-07-18,2026-03-01,0,1322,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,37104,2021-11-26,2021-11-26,2026-03-01,0,1556,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,3177162,2022-11-30,2022-11-30,2026-02-28,0,1186,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,142270,2024-01-25,2024-02-01,2026-01-31,7,730,7,Consulting Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,485123,2023-11-20,2023-12-01,2026-01-31,11,792,11,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,46043,2023-06-13,2023-06-13,2026-01-31,0,963,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,31622,2023-05-05,2023-05-05,2026-01-31,0,1002,0,Computer Services Related
"Computer equipment related to Production and Operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Other,Microsoft,11340,2022-10-14,2022-10-14,2025-10-15,0,1097,0,Production and Operation Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,4527308,2021-09-07,2021-09-07,2025-09-30,0,1484,0,Computer Services Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,26188,2020-08-04,2020-08-04,2025-08-31,0,1853,0,Database Access Services Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Other,Microsoft,53166,2022-08-15,2022-08-15,2025-08-31,0,1112,0,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,84750,2023-07-21,2023-07-21,2025-05-15,0,664,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,14966172,2022-05-03,2022-05-03,2025-04-30,0,1093,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,19533848,2022-04-29,2022-04-29,2025-04-30,0,1097,0,Computer Services Related
Client Software,Other,Microsoft,961452,2022-05-04,2022-04-19,2025-04-19,-15,1096,15,Software Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,671937,2021-04-01,2021-04-01,2025-04-01,0,1461,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,28591,2020-02-03,2020-02-03,2025-04-01,0,1884,0,Distributed Computing Environment Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,5756987,2022-03-04,2022-03-04,2025-04-01,0,1124,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,25703,2022-02-24,2022-02-24,2025-04-01,0,1132,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,21999,2020-12-22,2020-12-22,2025-04-01,0,1561,0,Computer Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,400050,2023-04-17,2023-04-17,2025-04-01,0,715,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,15603,2020-03-15,2020-03-15,2025-04-01,0,1843,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,4769,2022-07-17,2022-07-17,2025-04-01,0,989,0,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,405603,2021-04-27,2021-04-27,2025-04-01,0,1435,0,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Other,Microsoft,31457,2022-03-22,2022-03-22,2025-04-01,0,1106,0,Production and Operation Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,158441,2021-07-14,2021-07-14,2025-04-01,0,1357,0,Computer Services Related
"License/Maintenance fees for Client Software related to Distributed
Computing Environment (DCE)",Other,Microsoft,749256,2022-05-12,2022-04-01,2025-04-01,-41,1096,41,License/Maintenance Fees Related
Info Technology and Telecomm Consultants,Other,Microsoft,2321718,2023-03-22,2023-04-01,2025-03-31,10,730,10,Consulting Related
COMPUTER SERVICES,Other,Microsoft,212512,2024-02-16,2024-03-01,2025-03-31,14,395,14,Computer Services Related
License/Maintenance fees for Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,3264918,2022-04-01,2023-04-01,2025-03-31,365,730,365,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,17367,2024-02-15,2024-02-15,2025-03-31,0,410,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,600000,2024-02-14,2024-02-14,2025-03-31,0,411,0,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,345690,2024-03-25,2024-04-01,2025-03-31,7,364,7,License/Maintenance Fees Related
