Contract,Buyer,Supplier,Amount,AwardDate,StartDate,EndDate,PreparatoryPhase,ContractDays,PhaseDays,ContractType
Client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,20643,2024-09-23,2024-09-23,2025-03-31,0,189,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,16191,2024-07-11,2024-07-11,2025-03-31,0,263,0,Distributed Computing Environment Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,24283,2024-07-01,2024-07-01,2026-03-01,0,608,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,461548,2024-09-04,2024-09-04,2026-03-31,0,573,0,License/Maintenance Fees Related
Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,24896,2021-09-14,2021-04-01,2026-03-31,-166,1825,166,Software Related
Client Software related to Distributed Computing Environment (DCE),Other,Microsoft,1162395,2022-03-24,2022-04-01,2026-03-31,8,1460,8,Distributed Computing Environment Related
License/Maintenance fees for Client Software related to Distributed Computing Environment (DCE),Other,Microsoft,92954,2021-03-26,2021-04-01,2026-03-31,6,1825,6,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,345031,2024-04-17,2024-04-17,2026-03-31,0,713,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,15723,2024-04-12,2024-04-12,2026-03-31,0,718,0,Distributed Computing Environment Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,77415,2024-04-02,2024-04-02,2025-03-31,0,363,0,Computer Services Related
Information technology and telecommunications consultants,Global Affairs Canada,Microsoft,12528,2024-06-18,2024-06-18,2025-03-31,0,286,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,16191,2024-05-23,2024-05-23,2025-03-31,0,312,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,13893,2024-05-06,2024-05-06,2025-03-31,0,329,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,313785,2024-05-01,2024-05-01,2025-03-31,0,334,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,12963,2024-05-01,2024-05-01,2025-03-31,0,334,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,80479,2024-04-30,2024-04-30,2025-03-31,0,335,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Global Affairs Canada,Microsoft,27257,2024-06-18,2024-06-18,2025-03-31,0,286,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,3634811,2024-04-30,2024-04-30,2025-03-31,0,335,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,298673,2024-06-04,2024-06-04,2025-03-31,0,300,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,21857,2024-05-23,2024-05-23,2025-03-31,0,312,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,19557,2024-05-27,2024-05-27,2025-03-31,0,308,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,1422656,2024-04-30,2024-04-30,2025-03-31,0,335,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Global Affairs Canada,Microsoft,63291,2024-06-14,2024-06-14,2025-03-31,0,290,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,51853,2024-05-01,2024-05-01,2025-03-31,0,334,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,71882,2024-05-01,2024-05-01,2025-03-31,0,334,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,116670,2024-05-01,2024-05-01,2025-03-31,0,334,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,137970,2024-06-11,2024-06-11,2025-03-31,0,293,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Global Affairs Canada,Microsoft,23657,2024-06-17,2024-06-17,2025-03-31,0,287,0,Consulting Related
Information technology and telecommunications consultants,Global Affairs Canada,Microsoft,32410,2024-06-17,2024-06-17,2025-03-31,0,287,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,11172,2024-05-07,2024-05-07,2025-03-31,0,328,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,52360,2024-05-07,2024-05-07,2025-03-31,0,328,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,31334,2022-10-20,2022-10-20,2026-03-31,0,1258,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,2366012,2024-04-12,2024-04-12,2026-03-31,0,718,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,1024233,2020-04-01,2020-04-01,2026-03-31,0,2190,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,31439,2024-04-01,2024-04-01,2026-03-31,0,729,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,52903,2024-04-18,2024-05-01,2026-03-31,13,699,13,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,74791,2023-07-01,2023-07-01,2025-06-30,0,730,0,Distributed Computing Environment Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,21582,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,248109,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,289792,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,175941,2020-12-04,2020-12-04,2025-03-31,0,1578,0,Software Related
Computer Services (includes IT solutions / deliverables as well as IT,Other,Microsoft,505619,2020-03-16,2020-04-01,2021-03-31,16,364,16,Computer Services Related
Information Technology and Telecommunications Consultants,Other,Microsoft,689540,2020-06-23,2020-06-26,2021-03-31,3,278,3,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,43834,2024-05-21,2024-06-01,2029-05-31,11,1825,11,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,702630,2021-05-18,2021-06-01,2029-05-31,14,2921,14,License/Maintenance Fees Related
License/Maintenance fees for networking software,Other,Microsoft,259451,2021-05-05,2021-05-21,2029-05-31,16,2932,16,License/Maintenance Fees Related
Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,343984,2023-08-02,2023-08-02,2029-03-31,0,2068,0,Software Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,26717,2022-04-01,2022-04-01,2028-03-31,0,2191,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,1356000,2023-12-12,2023-10-01,2026-09-30,-72,1095,72,Distributed Computing Environment Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,102260150,2024-05-10,2024-06-07,2026-05-31,28,723,28,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,438827,2022-04-01,2022-04-01,2026-03-31,0,1460,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,23803,2024-05-24,2024-05-24,2026-03-31,0,676,0,Database Access Services Related
License/Maitenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,77104,2024-04-11,2024-03-22,2026-03-31,-20,739,20,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,35649,2024-06-06,2024-06-06,2026-03-31,0,663,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,913458,2020-06-10,2020-06-05,2026-03-31,-5,2125,5,Distributed Computing Environment Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,46554,2024-03-08,2024-03-08,2026-03-31,0,753,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Employment and Social Development Canada,Microsoft,140840,2024-06-25,2024-06-01,2026-03-31,-24,668,24,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,479950,2022-04-01,2022-04-01,2026-03-31,0,1460,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,12821,2024-04-16,2024-04-04,2026-03-31,-12,726,12,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,318000,2024-04-19,2024-04-19,2026-03-31,0,711,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,54853,2022-04-01,2022-04-01,2026-03-31,0,1460,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,515383,2024-04-05,2023-11-01,2026-03-31,-156,881,156,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,115192,2024-04-02,2024-04-02,2026-03-31,0,728,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,34571,2022-11-21,2022-11-21,2026-03-31,0,1226,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,110089,2024-04-09,2024-03-01,2026-03-31,-39,760,39,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,749734,2020-02-24,2020-02-24,2026-03-31,0,2227,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Natural Resources Canada,Microsoft,113000,2024-04-17,2024-04-17,2026-01-31,0,654,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,16950,2024-06-27,2024-07-01,2025-06-30,4,364,4,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,1320039,2023-06-28,2023-06-28,2025-05-01,0,673,0,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,1629887,2021-07-23,2021-07-23,2025-04-01,0,1348,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,7778016,2024-04-18,2024-04-18,2025-04-01,0,348,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,164147,2022-11-24,2022-11-24,2025-03-31,0,858,0,Consulting Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,4505187,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Employment and Social Development Canada,Microsoft,3678795,2024-04-16,2024-04-01,2025-03-31,-15,364,15,Computer Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,56500,2024-05-06,2024-04-01,2025-03-31,-35,364,35,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,4613770,2020-11-16,2020-11-16,2025-03-31,0,1596,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,52360,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,168503,2024-04-02,2024-03-28,2025-03-31,-5,368,5,License/Maintenance Fees Related
COMPUTER SERVICES,Other,Microsoft,249544,2024-04-01,2024-04-01,2025-03-31,0,364,0,Computer Services Related
License/Maintenance fees for App.Software,Other,Microsoft,50548,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,48728,2023-05-01,2023-05-01,2025-03-31,0,700,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,503854,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,6115,2024-04-26,2021-04-01,2025-03-31,-1121,1460,1121,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,16465,2022-01-21,2022-02-01,2025-03-31,11,1154,11,Database Access Services Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,376643,2024-04-30,2024-04-30,2025-03-31,0,335,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR CLIENT SOFTWARE,Other,Microsoft,685664,2023-07-10,2023-07-10,2025-03-31,0,630,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,20321040,2023-11-22,2023-12-01,2025-03-31,9,486,9,Database Access Services Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,2827826,2024-04-30,2024-04-30,2025-03-31,0,335,0,License/Maintenance Fees Related
"License/Maintenance fees for Client Software related to Distributed
Computing Environment (DCE)",Other,Microsoft,4220378,2023-04-01,2023-04-01,2025-03-31,0,730,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,271226,2022-02-25,2022-02-25,2025-03-31,0,1130,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,220501,2024-03-28,2024-04-01,2025-03-31,4,364,4,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,220501,2024-03-28,2024-04-01,2025-03-31,4,364,4,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,2689206,2024-06-10,2024-06-10,2025-03-31,0,294,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,288126,2022-06-06,2022-07-01,2025-03-31,25,1004,25,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,282663,2024-04-17,2024-04-01,2025-03-31,-16,364,16,License/Maintenance Fees Related
"License/Maintenance fees for Client Software related to Distributed
Computing Environment (DCE)",Other,Microsoft,165608,2024-04-08,2024-04-08,2025-03-31,0,357,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,1525500,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,638337,2024-04-12,2024-04-01,2025-03-31,-11,364,11,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,24468,2024-04-17,2024-04-01,2025-03-31,-16,364,16,License/Maintenance Fees Related
"RENTAL OF COMPUTER EQUIPMENT RELATED TO PRODUCTION AND OPERATIONS (P&O) ENVIRONMENT - ALL SERVERS, STORAGE, PRINTERS, ETC. (INCLUDES ALL RELATED PARTS AND PERIPHERALS)",Transport Canada,Microsoft,3164000,2024-05-14,2024-05-14,2025-03-31,0,321,0,Equipment Related
License/Maintenance fees for Client Software,Other,Microsoft,29996,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,1564336,2024-04-01,2024-04-01,2025-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,106064,2024-04-16,2024-04-16,2025-03-31,0,349,0,License/Maintenance Fees Related
License/Maintenance fees for Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,20355,2024-06-18,2024-06-18,2025-03-31,0,286,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,17628,2024-05-06,2024-04-01,2025-03-31,-35,364,35,Distributed Computing Environment Related
Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,15560,2022-07-01,2022-04-01,2025-03-31,-91,1095,91,Software Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,13942,2023-03-09,2023-04-01,2025-03-31,23,730,23,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,792273,2021-02-09,2021-02-09,2025-03-31,0,1511,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,202046,2024-04-30,2024-05-01,2025-03-31,1,334,1,Consulting Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,151129,2024-05-10,2024-05-10,2025-03-31,0,325,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Natural Resources Canada,Microsoft,412513,2024-06-28,2024-07-10,2025-03-31,12,264,12,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,356123,2022-07-11,2022-07-11,2025-03-31,0,994,0,License/Maintenance Fees Related
Information Technology Consultants,Other,Microsoft,478420,2024-04-01,2024-04-01,2025-03-31,0,364,0,Consulting Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,255100,2024-03-01,2024-03-01,2025-03-31,0,395,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,147517,2024-04-05,2023-05-15,2025-02-28,-326,655,326,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,229950,2024-05-13,2024-05-01,2025-02-28,-12,303,12,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,138007,2024-06-28,2024-06-28,2024-07-12,0,14,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,294150,2024-06-28,2024-06-28,2024-07-01,0,3,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,4723400,2024-05-09,2024-05-09,2024-05-30,0,21,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,11145,2021-12-09,2021-12-09,2024-04-01,0,844,0,Database Access Services Related
Other professional services not elsewhere specified,Other,Microsoft,28218,2024-02-01,2024-02-01,2024-03-31,0,59,0,Other
Server Operating System and Utility Software,Other,Microsoft,2479159,2024-02-13,2024-03-01,2029-02-28,17,1825,17,Software Related
Networking Software,Other,Microsoft,77608,2024-01-30,2024-02-15,2029-02-14,16,1826,16,Software Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,175668,2024-01-17,2024-01-17,2028-12-31,0,1810,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,316183,2023-12-08,2023-12-08,2028-12-31,0,1850,0,License/Maintenance Fees Related
Acquisition of Client Software,Other,Microsoft,17628,2023-10-20,2024-01-01,2028-12-31,73,1826,73,Software Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,560839,2024-02-23,2024-02-23,2028-12-31,0,1773,0,License/Maintenance Fees Related
Computer services,Other,Microsoft,121107,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
Computer services,Other,Microsoft,50085,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
Computer services,Other,Microsoft,44757,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
Computer services,Other,Microsoft,287582,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
Computer services,Other,Microsoft,21036,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
Computer services,Other,Microsoft,18806,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
Computer services,Other,Microsoft,100170,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
Computer services,Other,Microsoft,70119,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
Computer services,Other,Microsoft,47233,2023-11-06,2023-12-01,2028-11-30,25,1826,25,Computer Services Related
Computer services,Other,Microsoft,1294066,2023-11-06,2023-12-01,2028-11-30,25,1826,25,Computer Services Related
Computer services,Other,Microsoft,71461,2023-11-07,2023-12-01,2028-11-30,24,1826,24,Computer Services Related
